name,num,isTwice
董明珠,6,否
群体,6,是
张兰,5,是
吉娜·莱因哈特,4,否
香奈儿,3,是
王雪红,3,否
柳青,3,是
徐新,2,否
吴亚军,2,是
孙伊萍,2,否
刘迎霞,2,否
王秋杨,2,是
张欣,2,是
吴英,2,是
夏华,2,是
王潮歌,2,是
王瑛,2,是
王静,2,否
郑杰,2,否
宗馥莉,2,是
俞渝,2,否
韩小红,2,否
高丽娜,1,否
李亚俐,1,否
荣秀丽,1,否
杨惠妍,1,否
王潮歌 ,1,否
周群飞,1,否
古德伦 •胡登,1,否
吴国英,1,否
何超琼 ,1,否
舒婷,1,否
沈琬,1,否
肖瑟秋,1,否
玛莎,1,否
黛安·冯芙丝汀宝,1,否
陈小凤,1,否
曾璟璇,1,否
龚如心,1,否
郭粹,1,否
史晓燕 ,1,否
严霁玥,1,否
科恩 ,1,否
邓晔,1,否
李静,1,否
赵依芳,1,否
张黔,1,否
刘平,1,否
顾莹樱,1,否
梅耶尔,1,否
龚海燕,1,否
卡莉•菲奥莉娜,1,否
李宏玮,1,否
朱桔榕,1,否
王薇薇,1,否
梅琳达•盖茨,1,否
凯瑟琳•格雷厄姆,1,否
陈丽华,1,否
唐青仪,1,否
钟丽芳,1,否
田元,1,否
蒉莺春,1,否
黄竞彦,1,否
杜鹃,1,否
任雪梅,1,否
宋总,1,否
杨小丽,1,否
俄姆•桑加雷,1,否
王小芳,1,否
李小琳,1,否
彭蕾,1,否
乐露萍,1,否
潘敏峰,1,否
邓亚萍,1,否
桑德琳,1,否
吴碧瑄,1,否
曾玉,1,否
王凤英,1,否
群体（年轻创业女性）,1,否
丁书苗,1,否
黄劲,1,否
陈丹霞,1,否
